"productURL","title","authorName","authorUrl","Publisher","Language","ISBN-10","ISBN-13","Amazon Bestsellers Rank","price","quantity","shippingCost"
"http://www.amazon.ca/Legado-Peter-Drucker-Portuguese-Brasil/dp/8576801027/ref=sr_1_5/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-5","O Legado Vivo De Peter Drucker (Em Portuguese do Brasil)","Joseph A. Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A.+Maciariello&search-alias=books-ca","M.Books (2010)","Portuguese Brazilian","8576801027","978-8576801023",,"",,""
"http://www.amazon.ca/Drucker-Difference-Greatest-Management-Business/dp/0071638008/ref=sr_1_3/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-3","The Drucker Difference: What the World's Greatest Management Thinker Means to Today's Business Leaders","Craig L. PearceJoseph A. MaciarielloHideki Yamawaki","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Craig+L.+Pearce&search-alias=books-ca","McGraw-Hill; 1 edition (Sept. 22 2009)","English","0071638008","978-0071638005","#954,751 in Books ()","CDN$ 27.37CDN$ 0.20","1","FREE Shipping."
"http://www.amazon.ca/Drucker%252019s-Lost-Art-Management-Organizations/dp/0071765816/ref=sr_1_2/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-2","Drucker’s Lost Art of Management: Peter Drucker’s Timeless Vision for Building Effective Organizations","Joseph A. MaciarielloKaren Linkletter","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A.+Maciariello&search-alias=books-ca","McGraw-Hill; 1 edition (March 14 2011)","English","0071765816","978-0071765817","#734,908 in Books ()","CDN$ 33.19","1","FREE Shipping."
"http://www.amazon.ca/Programme-management-Control-Systems-Joseph-Maciariello/dp/0471015660/ref=sr_1_7/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-7","Programme-management Control Systems","Joseph A. Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A.+Maciariello&search-alias=books-ca","John Wiley & Sons Inc (April 1978)","English","0471015660","978-0471015666",,"CDN$ 3.70",,""
"http://www.amazon.ca/Management-Control-Systems-Joseph-Maciariello/dp/013098146X/ref=sr_1_6/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-6","Management Control Systems","Joseph A. MaciarielloCalvin J. Kirby","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A.+Maciariello&search-alias=books-ca","Prentice Hall; 2 edition (March 7 1994)","English","013098146X","978-0130981462",,"CDN$ 0.78",,""
"http://www.amazon.ca/Lasting-Value-Lessons-Century-Electric/dp/0471330256/ref=sr_1_8/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-8","Lasting Value: Lessons from a Century of Agility at Lincoln Electric","Joseph A. Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A.+Maciariello&search-alias=books-ca","Wiley; 1 edition (Dec 7 1999)","English","0471330256","978-0471330257","#1,996,671 in Books ()","CDN$ 97.99CDN$ 32.81","1","FREE Shipping."
"http://www.amazon.ca/Year-Peter-Drucker-Leadership-Effectiveness/dp/0062315676/ref=sr_1_1/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-1","A Year With Peter Drucker: 52 Weeks Of Coaching For Leadership Effectiveness","Joseph A Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A+Maciariello&search-alias=books-ca","Harper Business (Nov. 13 2014)","English","0062315676","978-0062315670","#98,653 in Books ()","CDN$ 23.19","1","FREE Shipping on orders over CDN$ 25."
"http://www.amazon.ca/Executive-Leadership-Health-Care-Lyal/dp/1555423264/ref=sr_1_9/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-9","Executive Leadership in Health Care","Lyal D. AsayJoseph A. Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Lyal+D.+Asay&search-alias=books-ca","Jossey-Bass Inc Pub (June 1991)","English","1555423264","978-1555423261","#2,501,492 in Books ()","CDN$ 3.87",,""
"http://www.amazon.ca/Management-Control-Systems-Adaptive-Attain/dp/8120312295/ref=sr_1_11/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-11","Management Control Systems: Using Adaptive Systems to Attain Control","Joseph A. Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A.+Maciariello&search-alias=books-ca","PHI Learning; 2nd edition edition (Dec 1 2009)","English","8120312295","978-8120312296",,"",,""
"http://www.amazon.ca/Daily-Drucker-Wirtschaftswissen-t%C3%A4glichen-Gebrauch/dp/3827418682/ref=sr_1_10/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-10","Daily Drucker: Wirtschaftswissen zum täglichen Gebrauch","Peter F. DruckerJoseph A. MaciarielloH. SimonJ. CollinsKatharina Neuser-von OettingenM. Bühler","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Peter+F.+Drucker&search-alias=books-ca","Spektrum Akademischer Verlag; 2008 edition (Nov. 22 2007)","German","3827418682","978-3827418685",,"",,""
"http://www.amazon.ca/Peter-Drucker-arte-perdido-gerencia/dp/9588774314/ref=sr_1_13/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-13","Peter Drucker y el arte perdido de la gerencia","Joseph Maciariello y Karen Linkletter","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+Maciariello+y+Karen+Linkletter&search-alias=books-ca","Grupo Carvajal (2010)",,"9588774314","978-9588774312",,"",,""
"http://www.amazon.ca/Drucker-Para-Todos-los-Dias/dp/9580492573/ref=sr_1_12/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-12","Drucker Para Todos los Dias: 366 Dias de Reflexiones Clave Para Acertar en Sus Negocios","Peter F. DruckerJoseph A. Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Peter+F.+Drucker&search-alias=books-ca","Grupo Editorial Norma (July 28 2006)","Spanish","9580492573","978-9580492573",,"",,""
"http://www.amazon.ca/Year-Peter-Drucker-Effectiveness-Maciariello/dp/B00SQBO1UK/ref=sr_1_4/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-4","A Year With Peter Drucker: 52 Weeks Of Coaching For Leadership Effectiveness: Written by Joseph A Maciariello, 2014 Edition, Publisher: Harper Business [Hardcover]","Joseph A Maciariello","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Joseph+A+Maciariello&search-alias=books-ca","Harper Business (Dec 9 2014)",,,,,"CDN$ 40.68",,""
"http://www.amazon.ca/Purofesshonaru-Genten-Drucker-Joseph-Maciariello/dp/4478003343/ref=sr_1_14/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-14","Purofesshonaru No Genten","Peter F Drucker; Joseph A Maciariello; Atsuo Ueda","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Peter+F+Drucker%3B+Joseph+A+Maciariello%3B+Atsuo+Ueda&search-alias=books-ca","n/a (Feb. 1 2008)",,"4478003343","978-4478003343",,"CDN$ 14.72",,""
"http://www.amazon.ca/Keiei-shinzui-Chishiki-shakai-manejimento/dp/4478022461/ref=sr_1_16/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-16","Keiei no shinzui : Chishiki shakai no manejimento. 2.","Peter Ferdinand Drucker; Joseph A Maciariello; Atsuo Ueda","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Peter+Ferdinand+Drucker%3B+Joseph+A+Maciariello%3B+Atsuo+Ueda&search-alias=books-ca","Daiyamondosha. (Sept. 1 2012)",,"4478022461","978-4478022467",,"CDN$ 49.69",,""
"http://www.amazon.ca/Keiei-shinzui-Chishiki-shakai-manejimento/dp/4478006245/ref=sr_1_15/183-6916388-4077746?s=books&ie=UTF8&qid=1432741477&sr=1-15","Keiei no shinzui : Chishiki shakai no manejimento. 1.","Peter Ferdinand Drucker; Joseph A Maciariello; Atsuo Ueda","http://www.amazon.ca/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Peter+Ferdinand+Drucker%3B+Joseph+A+Maciariello%3B+Atsuo+Ueda&search-alias=books-ca","Daiyamondosha. (Sept. 1 2012)",,"4478006245","978-4478006245",,"CDN$ 48.39",,""
